samolot;data;trasa;premier
TU;21.12.2007;EPWA-EPWR;dane/pdt.pdf
TU;10.01.2008;EPWA-LKPR-EPWA;dane/pdt.pdf
TU;18.01.2008;EPWA-LZIB-EPWA;dane/pdt.pdf
TU;24.01.2008;EPWA-EPSZ-EPWA;dane/pdt.pdf
TU;08.02.2008;EPWA-Moskwa-EPGD-EPWA;dane/pdt.pdf
W3;18.02.2008;EPGD-Świdwin-EPWA;dane/pdt.pdf
YK;22.02.2008;EPWA-EPGD-EPWA;dane/pdt.pdf
YK;24.02.2008;EPGD-EPWA;dane/pdt.pdf
YK;01.03.2008;EPWA-EPGD;dane/pdt.pdf
YK;09.03.2008;EPGD-EPWA;dane/pdt.pdf
TU;14.03.2008;EPWA-EPGD;dane/pdt.pdf
TU;20.03.2008;EPWA-LJLJ-EPGD-EPWA;dane/pdt.pdf
TU;28.03.2008;EPWA-Kijów-EPGD-EPWA;dane/pdt.pdf
YK;31.03.2008;EPWA-EPGD-EPWA;dane/pdt.pdf
YK;04.04.2008;EPWA-EPGD;dane/pdt.pdf
TU;10.04.2008;EPWA- LLBG-EPWA;dane/pdt.pdf
YK;18.04.2008;EPWA-EPGD;dane/pdt.pdf
YK;25.04.2008;EPWA-EPGD;dane/pdt.pdf
YK;30.04.2008;EPWA-EPGD;dane/pdt.pdf
YK;02.05.2008;EPWA-EPGD;dane/pdt.pdf
YK;09.05.2008;EPWA-EPGD;dane/pdt.pdf
YK;12.05.2008;EPGD-EPWA;dane/pdt.pdf
TU;20.05.2008;EPWA-Lima-Santiago de Chile-EPWA;dane/pdt.pdf
YK;23.05.2008;EPGD-EPWA-EPGD;dane/pdt.pdf
TU;24.05.2008;EPWA-LSGG-EPWA;dane/pdt.pdf
YK;04.06.2008;EPWA-EVRA-EPWA;dane/pdt.pdf
YK;13.06.2008;EPWA-EPGD;dane/pdt.pdf
TU;16.06.2008;EPWA-LKPR-EPGD-EPWA;dane/pdt.pdf
YK;20.06.2008;EPWA-Bruksela-EPGD-EPWA;dane/pdt.pdf
YK;27.06.2008;EPWA-EPGD;dane/pdt.pdf
YK;04.07.2008;EPWA-EPGD;dane/pdt.pdf
YK;11.07.2008;EPWA-EPGD-EPWA;dane/pdt.pdf
YK;18.07.2008;EPWA-EPGD;dane/pdt.pdf
YK;21.07.2008;EPGD-EPWA;dane/pdt.pdf
YK/Bell;26.07.2008;EPWA-EPKK-Nowy Targ-EPKK-EPWA;dane/pdt.pdf
Bell;30.07.2008;EPWA-Łódź-EPWA;dane/pdt.pdf
YK;03.08.2008;EPGD-EPKK-EPGD;dane/pdt.pdf
Bell;08.08.2008;EPWA-LKMT;dane/pdt.pdf
YK;08.08.2008;EPWA-EPGD;dane/pdt.pdf
YK;14.08.2008;EPWA-EPGD;dane/pdt.pdf
YK;16.08.2008;EPWA-EPGD-EPKT-EPGD-EPWA;dane/pdt.pdf
TU;23.08.2008;Irak;dane/pdt.pdf
YK/Bell;29.08.2008;EPWA-EPGD-EPSK-EPGD;dane/pdt.pdf
TU;01.09.2008;EPWA-EPGD-Bruksela-EPWA;dane/pdt.pdf
YK;03.09.2008;EPWA-EPKK-EPWA;dane/pdt.pdf
YK;05.09.2008;EPWA-EDDG-EPGD-EPWA;dane/pdt.pdf
Bell;08.09.2008;EPGD-Gołdap-EPWA;dane/pdt.pdf
Bell;10.09.2008;EPWA-Krynica (Krzyżówka)-EPWA;dane/pdt.pdf
TU;17.09.2008;EPWA-Sztokcholm-EPWA;dane/pdt.pdf
Bell;18.09.2008;EPWA-Strzelce Op.-EPWA;dane/pdt.pdf
TU;19.09.2008;EPWA-EPGD- Kijów-EPWA-EPWR;dane/pdt.pdf
YK;03.10.2008;EPWA-EPGD;dane/pdt.pdf
TU;08.10.2008;EPWA-Sewilla-EPWA;dane/pdt.pdf
YK;09.10.2008;Paryż Berlin Waw;dane/pdt.pdf
NA;NA;NA;dane/pdt.pdf
YK;17.10.2008;EPWA-EPGD;dane/pdt.pdf
TU;26.10.2008;WAW-Szanghaj-Pekin-EPGD-EPWA;dane/pdt.pdf
YK;31.10.2008;EPWA-EPGD;dane/pdt.pdf
TU;07.11.2008;EPWA-Bruksela-EPWA;dane/pdt.pdf
YK;07.11.2008;EPWA-EPGD;dane/pdt.pdf
YK;10.11.2008;EPGD-EPWA;dane/pdt.pdf
TU;12.11.2008;EPWA-Frankfurt-EPWA;dane/pdt.pdf
YK;15.11.2008;EPWA-EPGD;dane/pdt.pdf
TU;19.11.2008;EPWA-EPGD-Kuwejt-Doha-EPWA;dane/pdt.pdf
YK;22.11.2008;EPWA-EPGD;dane/pdt.pdf
TU;24.11.2008;EPWA-Londyn-EPWA;dane/pdt.pdf
YK;25.11.2008;EPGD-EPWA;dane/pdt.pdf
YK;28.11.2008;EPWA-EPPO-EPGD;dane/pdt.pdf
YK;30.11.2008;EPGD-EPWA-EPGD;dane/pdt.pdf
YK;01.12.2008;EPWA-EPGD-EPPO-EPWA;dane/pdt.pdf
YK;03.12.2008;EPWA-EPKK;dane/pdt.pdf
YK;04.12.2008;EPKT-EPWA;dane/pdt.pdf
TU;12.12.2008;EPWA-Bruksela-EPWA;dane/pdt.pdf
YK;12.12.2008;EPWA-EPGD;dane/pdt.pdf
YK;17.12.2008;EPWA-EPKT-EPWA;dane/pdt.pdf
YK;19.12.2008;EPWA-EPGD;dane/pdt.pdf
Bell;20.12.2008;EPGD-Radzikowo-EPGD;dane/pdt.pdf
YK;23.12.2008;EPWA-EPGD;dane/pdt.pdf
YK;27.12.2008;EPGD-EPPO-EPGD;dane/pdt.pdf
YK;30.12.2008;EPWA-EPGD;dane/pdt.pdf
YK;09.01.2009;EPWA-Werona-Bratysława-Werona-EPWA;dane/pdt.pdf
YK;16.01.2009;EPWA-EPGD;dane/pdt.pdf
YK;23.01.2009;EPWA-EPGD;dane/pdt.pdf
TU;29.01.2009;EPWA-Zurich-EPWA;dane/pdt.pdf
YK;31.01.2009;EPWA-EPGD;dane/pdt.pdf
YK;01.02.2009;EPWA-EPGD;dane/pdt.pdf
TU;07.02.2009;EPWA-Monachium-EPGD-EPWA;dane/pdt.pdf
YK;10.02.2009;EPWA-EPGD-EPWA;dane/pdt.pdf
YK;12.02.2009;EPWA-EPGD-EPWA;dane/pdt.pdf
YK;15.02.2009;EPGD-EPWA;dane/pdt.pdf
TU;19.02.2009;EPWA-EPKK-EPWA;dane/pdt.pdf
YK;20.02.2009;EPWa-EPGD;dane/pdt.pdf
YK;28.02.2009;EPWA-EPGD-Hamburg-EPGD-EPWA;dane/pdt.pdf
NA;NA;NA;dane/pdt.pdf
YK;06.03.2009;EPWA-EPGD;dane/pdt.pdf
YK;13.03.2009;EPWA-EPGD;dane/pdt.pdf
TU;20.03.2009;Waw Bruksela Waw;dane/pdt.pdf
YK;21.03.2009;EPWA-Radom-EPGD;dane/pdt.pdf
Bell;30.03.2009;EPGD-Olecko-EPWA;dane/pdt.pdf
YK;04.04.2009;EPWA-EPGD-EPWA-EPWR;dane/pdt.pdf
YK;05.04.2009;EPWA-EPWR-Praga-EPGD-EPWA;dane/pdt.pdf
YK;06.04.2009;EPGD-EPWA;dane/pdt.pdf
YK;09.04.2009;EPGD-EPWA;dane/pdt.pdf
YK;09.04.2009;EPWA-EPGD;dane/pdt.pdf
YK;14.04.2009;EPGD-EPWA;dane/pdt.pdf
YK;15.04.2009;EPWA-EPKT;dane/pdt.pdf
NA;NA;NA;dane/pdt.pdf
YK;17.04.2009;EPWA-Tallin-Helsinki-EPGD-EPWA;dane/pdt.pdf
YK;24.04.2009;EPWA-EPGD;dane/pdt.pdf
YK;26.04.2009;EPGD-EWWA;dane/pdt.pdf
YK;30.04.2009;EPWA-EPGD;dane/pdt.pdf
YK;03.05.2009;EPGD-EPWA;dane/pdt.pdf
TU;07.05.2009;EPWA-Praga-EPWA;dane/pdt.pdf
YK;09.05.2009;EPWA-EPPO-EPGD;dane/pdt.pdf
YK;19.05.2009;EPGD-EPWA;dane/pdt.pdf
YK;22.05.2009;EPWA-EPGD;dane/pdt.pdf
W3;31.05.2009;EPWA-Kazimierz Biskupi;dane/pdt.pdf
W3;01.06.2009;EPWA-Poniatowa-EPWA;dane/pdt.pdf
W3;02.06.2009;EPWA-Turbia-EPWA;dane/pdt.pdf
YK;03.06.2009;EPWA-EPKK;dane/pdt.pdf
YK;04.06.2009;EPKK-EPWA;dane/pdt.pdf
TU;04.06.2009;EPWA-EPKK-EPGD;dane/pdt.pdf
YK;05.06.2009;EPWA-EPKT-EPGD;dane/pdt.pdf
YK;05.06.2009;EPGD-EPWA;dane/pdt.pdf
YK;07.06.2009;EPGD-EPWA;dane/pdt.pdf
TU;18.06.2009;EPWA-Bruksela-EPGD-EPWA;dane/pdt.pdf
YK;26.06.2009;EPWA-EPGD;dane/pdt.pdf
NA;NA;NA;dane/pdt.pdf
YK/W3;29.06.2009;EPWR-EPWA;dane/pdt.pdf
YK;03.07.2009;EPWA-EPGD;dane/pdt.pdf
W3;04.07.2009;EPGD-Pomysk Wlk.-EPGD;dane/pdt.pdf
W3;08.07.2009;EPWA-Łyse-EPWA;dane/pdt.pdf
TU;10.07.2009;EPWA- Kijów-EPWA-EPGD;dane/pdt.pdf
TU;12.07.2009;EPWA-EPGD-Osnabruck-EPGD-EPWA;dane/pdt.pdf
YK;13.07.2009;EPGD-EPWA;dane/pdt.pdf
YK;17.07.2009;EPWA-EPGD;dane/pdt.pdf
YK;24.07.2009;EPWA-EPGD;dane/pdt.pdf
YK;01.08.2009;EPWA-EPGD;dane/pdt.pdf
