samolot;data;trasa;premier
EMB;22.04.2011;WAW-GDN;PDT
EMB;26.04.2011;GDN-WAW;PDT
EMB;07.05.2011;WAW-Podgorica-Belgrad Zagrzeb-GDN-WAW;PDT
EMB;09.05.2011;GDN-WAW;PDT
W3;12.05.2011;EPWA-Turbia Łososina-EPKT (Muchowiec);PDT
EMB;12.05.2011;KTW-GDN;PDT
EMB;13.05.2011;GDN-WAW;PDT
EMB;14.05.2011;WAW-GDN;PDT
EMB;16.05.2011;WAW-GDN-KTW-WAW;PDT
EMB;20.05.2011;WAW-GDN-WAW;PDT
EMB;23.05.2011;WAW-GDN-BRU-WAW;PDT
EMB;30.05.2011;WAW-GDN-WAW;PDT
Bell;01.06.2011;EPWA-InoWRO-EPWA;PDT
W3;02.06.2011;EPAW-Włocławek-EPWA;PDT
EMB;03.06.2011;WAW-Paryż-WAW;PDT
EMB;09.06.2011;WAW-GDN;PDT
EMB;13.06.2011;GDN-WAW;PDT
EMB;13.06.2011;GDN-WAW;PDT
W3;14.06.2011;EPWA-Mielnik-EPWA;PDT
W3;15.06.2011;EPWA-Bielsk Podl-EPWA;PDT
EMB;16.06.2011;WAW-BTS-WAW;PDT
